S_575-O-0	 smoke cigar is his free and right .	＜ 動詞 句 ＞ を ＜ 主語 ＞ に する 場合 は 、 ＜ to 不定 詞 ＞ や ＜ 動 名詞 ＞ の 形 に し て ＜ 名詞 句 ＞ に する 必要 が あり ます 。	0:0
P_92-O-0	on the one hand , if you want to gain more experiences in society , to have a part-time job is a good way , but on the other hand , in case you pay more attention on your part-time job that you do n't have enough times on your study lessons , for a college student , study is most important for a student .	何 か を 払う 先 を 示す ＜ 前置詞 ＞ は ≪ on ≫ で は あり ませ ん 。 辞書 で ＜ 動詞 ＞ ≪ pay ≫ を 引い て 適切 な ＜ 前置詞 ＞ を 調べ ましょ う 。	37:37
P_687-O-0	second , you earn money , having part time job .	＜ 動詞 句 ＞ を ＜ 主語 ＞ に する 場合 は 、 ＜ to 不定 詞 ＞ や ＜ 動 名詞 ＞ の 形 に し て ＜ 名詞 句 ＞ に する 必要 が あり ます 。	6:6
S_711-O-0	nowadays , there are a lot of people try to smoke , and some of them addicted tobacco .	＜ 動詞 ＞ ≪ addict ≫ は 依存 する 対象 を ＜ 目的 語 ＞ に する の で は なく 、 ＜ addict ＋ oneself ＋ to ＋ 依存 する 対象 ＞ の 形 で 使い ます 。	16:16
P_668-O-0	 the other word , i really do n't want work because part time job is too tired physically .	＜ 前置詞 ＞ ≪ the ≫ を 使っ て も 意味 は 通じ ます が 、 ＜ 名詞 ＞ ≪ campus ≫ とともに 使う ＜ 前置詞 ＞ は on が 最も 一般 的 です 。	0:0
P_323-O-0	part time job for study judgment and study to adult .	＜ 前置詞 ＞ ≪ for ≫ の 後ろ に は ＜ 動 名詞 ＞ を 含む ＜ 名詞 句 ＞ が 入り ます 。 ＜ 動詞 原形 ＞ は 置け ませ ん ので 、 同様 に 目的 を 示す ＜ to 不定 詞 ＞ の 形 に し ましょ う 。	3:3
S_362-O-0	you may say that these days more and more restaurants separate between smoking seats and no smoking ones .	＜ 前置詞 ＞ ≪ between ≫ は 何 か の 内部 に 存在 する こと を 表現 し ます 。 ＜ 名詞 ＞ ≪ separate ≫ とともに 使う ＜ 前置詞 ＞ を 辞書 など で 調べ て み て ください 。	11:11
P_1030-O-1	however , this phenomenon has been widely questioned by most of the people today whereby most of the people think that the task for a student to go for a university is to study and gain knowledge instead of working and earn money .	≪ most of ≫ の 後ろ に ＜ 定冠詞 ＞ ≪ the ≫ を 伴っ た ＜ 名詞 ＞ を 持っ て くる と 、 それ は 限定 さ れ た 集団 の こと を 指し ます 。 単に 学生 一般 を 指す 場合 は 、 ≪ most ≫ を ＜ 名詞 ＞ で は なく ＜ 形容詞 ＞ として 使い ましょ う 。	16:16
P_763-O-0	it will teach you that you should to do .	＜ 助動詞 ＞ の 直後 に 続く ＜ 動詞 ＞ は ＜ to 不定 詞 ＞ の 形 で は なく ＜ 原形 ＞ に し ます 。	7:7
P_125-O-0	as a consequence , taking a part-time job at your free time is a good choice and is important for college students .	＜ 名詞 句 ＞ ≪ free time ≫ の 前 に おく ＜ 前置詞 ＞ は ≪ at ≫ で も 通じ ない こと は ない の です が 、 in の ほう が 自然 でしょ う 。	8:8
P_180-O-0	they usually choose job which is relevant with their study program .	「 ～ にとって 」 と 考え て 、 ＜ 前置詞 ＞ を 選ん で み ましょ う 。	7:7
S_787-O-0	i want to see the fresh world , the world is with out the badly air from the cigarette smoke , with out the ailment such as the cancer , i want to see every body have a strong health , but smoker please stop smoking at the public area for your health and our health .	何 か が 行わ れ て いる 場所 を 示す 場合 に ＜ 名詞 ＞ ≪ area ≫ とともに 使用 する ＜ 前置詞 ＞ は ≪ at ≫ で も よい です が 、 in の ほう が より 一般 的 でしょ う 。	46:46
S_128-O-0	if someone smokes several times he or she will be addicted to the cigarette , and in the future , the person will fill upset , tired if he or she do n't smokes in a period of time , and in the end become a slave to the cigarette .	＜ 前置詞 ＞ ≪ in ≫ は 何 か が 起こる 場所 や 状況 を 示す ため に 使わ れ ます 。 何 か が 到達 する 到達 点 を 示す 場合 は into や to を 用い ます 。	34:34
S_332-O-0	such products are said to lead us death with cancer .	＜ 動詞 ＞ ≪ lead ≫ を 使っ て 「 何 か に ～ を する 」 と 表現 する 場合 、 ＜ 動詞 ＞ 部分 は ＜ to 不定 詞 ＞ で は なく ＜ 動 名詞 ＞ の 形 に し ます 。	7:7
P_432-O-0	when we are college students we study our own fields to get the jobs of it .	＜ 前置詞 ＞ ≪ of ≫ で も 間違い で は ない の です が 、 「 学生 によって 行わ れる アルバイト 」 という こと です ので 、 ＜ 前置詞 ＞ by の ほう が 自然 でしょ う 。	14:14
S_814-O-0	 general smoking is danger for body and health both myself and others .	＜ 名詞 句 ＞ のみ で は ＜ 副詞 句 ＞ として 機能 し ませ ん 。 ＜ 前置詞 ＞ が 必要 です 。 場所 を 示す ＜ 前置詞 ＞ を 考え て み ましょ う 。	0:0
S_324-O-0	i agree with the statement because of the following reasons .	＜ 接続詞 ＞ ≪ because ≫ が ＜ 節 ＞ を 導く 場合 は そのまま 使用 さ れ ます が 、 ＜ 名詞 句 ＞ を 導く 場合 に は 必ず 間 を つなぐ ＜ 前置詞 ＞ of が 必要 です 。	5:5
P_1038-O-1	no matter how , most of the students go for part time job are mainly due to financial problems such as they may having difficulty in paying their tuition fee and so on .	＜ 動詞 ＞ ≪ go ≫ は ＜ 自動詞 ＞ です ので ＜ 前置詞 ＞ ≪ for ≫ は 不要 です 。	9:9
S_814-O-1	general smoking is danger for body and health both myself and others .	＜ 名詞 ＞ を 別 の ＜ 名詞 ＞ で 後ろ から 修飾 する 場合 に は 通常 、 間 を つなぐ ＜ 前置詞 ＞ が 必要 です 。 「～ の 」 を 示す 最も 一般 的 な ＜ 前置詞 ＞ を 考え て み ましょ う 。	7:7
P_616-O-0	my experience will be helpful my dream .	＜ 形容詞 ＞ ≪ helpful ≫ を 使っ て 「 ～ の 前 に 」 と 表現 する 場合 、 「～ にとって 」 を 表す ＜ 前置詞 ＞ が 必要 です 。	4:4
P_831-O-0	it is full of many people which different families some family was rich , and some family was poor however those people have same main aim to get the good education cause the poor family must eager by themselves for get honor from societies .	目的 を 表す ＜ 前置詞 ＞ ≪ for ≫ の 後ろ に は ＜ 動 名詞 ＞ を 含む ＜ 名詞 ＞ が 入り ます 。 ＜ 動詞 原形 ＞ は 置け ませ ん ので 、 同様 に 目的 を 示す ＜ to 不定 詞 ＞ の 形 に し ましょ う 。	39:39
S_913-O-0	according to the drug will injure the human body , smoking has to be banned at anywhere except you are alone .	≪ anywhere ≫ は ＜ 副詞 ＞ です ので ＜ 前置詞 ＞ は 不要 です 。	15:15
S_761-O-0	you should be alert to him but you would n't dare same me .	＜ 形容詞 ＞ ≪ same ≫ を 使っ て 「 ～ と 同じ 」 と 表現 する 場合 、 比較 の 基準 と なる ＜ 名詞 ＞ の 前 に は ＜ 前置詞 ＞ が 必要 です 。 辞書 で ＜ 形容詞 ＞ ≪ same ≫ を 引い て 調べ て み ましょ う 。	11:11
S_684-O-0	now the government in thailand try to promote a campaign for stop smoking in public areas and restaurants .	＜ 前置詞 ＞ ≪ for ≫ の 後ろ に は ＜ 動 名詞 ＞ を 含む ＜ 名詞 ＞ が 入り ます 。 ＜ 動詞 原形 ＞ は 置け ませ ん ので 、 同様 に 目的 を 示す ＜ to 不定 詞 ＞ の 形 に し ましょ う 。	10:10
P_864-O-0	last , you can make friends from your work .	「 仕事 仲間 から の 」 と 考え て 、 ＜ 前置詞 ＞ を 選ん で み ましょ う 。	6:6
P_797-O-0	lf who is poor , he will work a part -- time job .	＜ 動詞 ＞ ≪ work ≫ は ＜ 自動詞 ＞ な ので 、 ＜ 目的 語 ＞ の 前 に ＜ 前置詞 ＞ が 必要 です 。 「 アルバイト で 」 と 言う 場合 に は ＜ 前置詞 ＞ at が よく 使わ れ ます 。	7:7
P_958-O-0	 learn how to schedule our time is another challenge .	＜ 動詞 句 ＞ を ＜ 主語 ＞ に する 場合 は 、 ＜ to 不定 詞 ＞ や ＜ 動 名詞 ＞ の 形 に し て ＜ 名詞 句 ＞ に する 必要 が あり ます 。	0:0
P_247-O-0	that work can be classified as full-time job at a place or a part-time job .	何 か が 行わ れ て いる 場所 を 示す 場合 に ≪ place ≫ とともに 使用 する ＜ 前置詞 ＞ は ≪ at ≫ で も よい です が 、 in の ほう が より 一般 的 でしょ う 。	8:8
S_1013-O-0	the policy makes my father to give up smoking in public space and in our house .	＜ 動詞 ＞ ≪ give ≫ の ＜ 目的 語 ＞ が 行う 動作 部分 は ＜ 動詞 原形 ＞ で は なく ＜ to 不定 詞 ＞ で 表現 し ます 。	5:5
P_493-O-0	i ca n't stay i 'm center of the world because guests choice restaurant which they want to go , so i need to make them comfortable for they choose my shop .	＜ 動詞 ＞ ≪ go ≫ は ＜ 自動詞 ＞ です ので 、 ＜ 直接 目的 語 ＞ を とる こと は でき ませ ん 。 行き先 を 示す ＜ 前置詞 ＞ を 考え て み ましょ う 。	18:18
S_877-O-0	if you allow them to smoke , you have let them smoke everywhere .	＜ 動詞 ＞ ≪ have ≫ を 使っ た 「～ し なけれ ば いけ ない 」 という ＜ 成句 ＞ は これ で 正しい です か ？ 辞書 で ＜ 動詞 ＞ ≪ have ≫ を 引い て 正しい 形 を 確認 し ましょ う 。	8:8
P_511-O-0	the time that you are college students is only a few years , but you must prepare for future before graduate college .	＜ 動詞 ＞ ≪ graduate ≫ が 「 卒業 する 」 という 意味 で 使用 さ れる とき は ＜ 自動詞 ＞ に なり ます ので 、 その 直後 に ＜ 目的 語 ＞ を 置く こと は でき ませ ん 。 辞書 で ＜ 動詞 ＞ ≪ graduate ≫ を 引い て 最適 な ＜ 前置詞 ＞ を 調べ て み ましょ う 。	20:20
