S_938-O-0	in taiwan , we have lots of smokers ages from 20 to over 60 .	≪ lots ≫ が ＜ 形容詞 ＞ で ある 場合 、 その 後ろ に は ＜ 名詞 ＞ や ＜ 代名詞 ＞ が 続く 場合 は 、 ≪ lots ≫ を ＜ 名詞 ＞ で は なく ＜ 形容詞 ＞ として 使い ましょ う 。	7:7
P_572-O-0	it 's true my home does n't have much money for raise children .	＜ 前置詞 ＞ ≪ for ≫ の 後ろ に は ＜ 動 名詞 ＞ を 含む ＜ 名詞 句 ＞ が 入り ます 。 ＜ 動詞 原形 ＞ は 置け ませ ん ので 、 同様 に 目的 を 示す ＜ to 不定 詞 ＞ の 形 に し ましょ う 。	10:10
S_903-O-0	most of the people also start understand that smoking is bad to their health and the smoke they breathe out is bad to other people who do n't smoke but breathe in that air .	≪ most of ≫ の 後ろ に ＜ 定冠詞 ＞ ≪ the ≫ を 伴っ た ＜ 名詞 ＞ を 持っ て くる と 、 それ は 限定 さ れ た 集団 の こと を 指し ます 。 単に 人々 一般 を 指す 場合 は 、 ≪ most ≫ を ＜ 名詞 ＞ で は なく ＜ 形容詞 ＞ として 使い ましょ う 。	1:1
P_409-O-0	because most of college students need much money to live and enjoy their life .	≪ most of ≫ の 後ろ に は 、 the 、 these 、 my など の ＜ 限定 詞 ＞ が 付い た ＜ 名詞 ＞ や ＜ 代名詞 ＞ が き ます 。 そう で ない 場合 、 ≪ most ≫ は ＜ 形容詞 ＞ として 修飾 する ＜ 名詞 ＞ の 直前 に 置か れ ます 。	2:2
S_914-O-0	someone is smoking will influence other people , when you are at public place .	何 か が 行わ れ て いる 場所 を 示す 場合 に ＜ 名詞 ＞ ≪ place ≫ とともに 使用 する ＜ 前置詞 ＞ は ≪ at ≫ で も よい です が 、 in の ほう が より 一般 的 でしょ う 。	11:11
S_781-O-0	for the smoker when you want to smoke might think about the others around yourself and keep your manner so anyone can not argue on you .	＜ 動詞 ＞ ≪ argue ≫ は ＜ 他動詞 ＞ です ので 、 ＜ 目的 語 ＞ の 前 に ＜ 前置詞 ＞ は 不要 です 。	24:24
S_510-O-0	no one wants to harmful their health , with eating delicious food .	ここ に は 何 か が 存在 し たり する 「 場所 」 を 示す ＜ 前置詞 ＞ が 必要 です 。	8:8
P_883-O-0	it also let students know that earn money is n't as easy as they thought , and wo n't waste money on unnecessary things .	＜ 動詞 句 ＞ を ＜ 主語 ＞ と する 場合 、 ＜ 動詞 原形 ＞ の まま で は 使え ませ ん 。 to を 添え て ＜ 名詞 化 ＞ する 必要 が あり ます 。	5:5
P_936-O-0	in addition , having a part-time job is helpful for university students ' time management .	＜ 形容詞 ＞ ≪ helpful ≫ とともに 使っ て 利益 を 享受 する 存在 を 導く ＜ 前置詞 ＞ は ≪ for ≫ で は あり ませ ん 。 何 か が 届く 行き先 を 表す ＜ 前置詞 ＞ を 考え て み ましょ う 。	9:9
S_757-O-0	government , especially ministry of public health must realize about the health of people and establish the law against smoking in the restaurants both non-air condition and air condition to keep people away from smoke of cigarettes .	「 ～ の こと を 思いやる 」 という 意味 で 使う とき の ＜ 動詞 ＞ ≪ realize ≫ は ＜ 他動詞 ＞ です ので 、 ＜ 目的 語 ＞ の 前 に ＜ 前置詞 ＞ は 不要 です 。	9:9
P_875-O-0	what are the benefits for students to have a job ?	＜ 形式 主語 ＞ ≪ what ≫ の 中身 を 示す 部分 は ＜ to 不定 詞 ＞ で 表現 さ れ ます 。	4:4
P_215-O-0	 have a part time job can help students to decrease their parents works , or to up his month income .	＜ 動詞 句 ＞ を ＜ 主語 ＞ に する 場合 は 、 ＜ to 不定 詞 ＞ や ＜ 動 名詞 ＞ の 形 に し て ＜ 名詞 句 ＞ に する 必要 が あり ます 。	0:0
S_980-O-0	we started eating quickly as fast as possible thinking about to get those people away .	「 ～ を し て 楽しむ 」 と 表現 する 際 に 使用 する の は ＜ to 不定 詞 ＞ で は なく ＜ 動詞 原形 ＞ を 用い ます 。	10:10
P_383-O-0	i think it is important for college students to have a part-time job because two reasons .	＜ 接続詞 ＞ ≪ because ≫ が ＜ 節 ＞ を 導く 場合 は そのまま 使用 さ れ ます が 、 ＜ 名詞 句 ＞ を 導く 場合 に は 必ず 間 を つなぐ ＜ 前置詞 ＞ of が 必要 です 。	13:13
P_543-O-0	so , students must earn money , part-time job .	＜ 前置詞 ＞ ≪ part-time ≫ の 後ろ に ＜ 動詞 ＞ は ＜ 原形 ＞ で は なく ＜ to 不定 詞 ＞ の 形 に なり ます 。	7:7
